Target Image: helix_nebula
Final Best MSE: 338.06
--------------------------------
Evolutionary History for helix_nebula
=========================================
Generation 0 | MSE: 3269.90 | Genotype: 
Layer 5 -> c: 0.814+0.041i | Offset X/Y: -0.29/-0.17 | Zoom: 0.43
Layer 6 -> c: -0.483-0.238i | Offset X/Y: -0.28/-0.55 | Zoom: 0.36

Generation 40 | MSE: 686.23 | Genotype: 
Layer 1 -> c: -0.349-0.582i | Offset X/Y: 0.23/0.58 | Zoom: 0.66
Layer 2 -> c: -0.309-0.135i | Offset X/Y: -0.49/-0.31 | Zoom: 0.42
Layer 3 -> c: -0.234+0.987i | Offset X/Y: -0.18/-0.35 | Zoom: 0.18
Layer 4 -> c: -1.000+0.588i | Offset X/Y: -0.31/0.18 | Zoom: 0.84
Layer 5 -> c: 0.814+0.041i | Offset X/Y: -0.29/-0.17 | Zoom: 0.43
Layer 6 -> c: -0.483-0.238i | Offset X/Y: -0.28/-0.55 | Zoom: 0.36

Generation 41 | MSE: 686.23 | Genotype: 
Layer 1 -> c: -0.349-0.582i | Offset X/Y: 0.23/0.58 | Zoom: 0.66
Layer 2 -> c: -0.309-0.135i | Offset X/Y: -0.49/-0.31 | Zoom: 0.42
Layer 3 -> c: -0.234+0.987i | Offset X/Y: -0.18/-0.35 | Zoom: 0.18
Layer 4 -> c: -1.000+0.588i | Offset X/Y: -0.31/0.18 | Zoom: 0.84
Layer 5 -> c: 0.814+0.041i | Offset X/Y: -0.29/-0.17 | Zoom: 0.43
Layer 6 -> c: -0.483-0.238i | Offset X/Y: -0.28/-0.55 | Zoom: 0.36

Generation 42 | MSE: 667.70 | Genotype: 
Layer 1 -> c: 0.859-1.000i | Offset X/Y: -0.10/-0.51 | Zoom: 0.40
